,dist,num,axi_x,axi_y,ir_x,ir_y
0,10.0,0,0.0,100,2539.2039138347372,1044.4084745312105
1,10.0,1,10.0,100,2539.446769807023,1044.190514405979
2,10.0,2,20.0,100,2503.17595900266,1047.1571994399337
3,10.0,3,30.0,100,2464.3481037675197,1046.297983383562
4,10.0,4,40.0,100,2426.0522374864754,1045.2037867586548
5,10.0,5,50.0,100,2387.0886490146254,1048.0015565581953
6,10.0,6,60.0,100,2346.93403336489,1047.2559096600412
7,10.0,7,70.0,100,2312.931613195045,1046.2712918448779
8,10.0,8,80.0,100,2277.302605036029,1048.874067640693
9,10.0,9,90.0,100,2230.731981330159,1048.3803842681768
10,10.0,10,100.0,100,2191.714125817619,1047.275597947873
11,10.0,11,110.0,100,2151.6303479243043,1050.2279302990132
12,10.0,12,120.0,100,2115.2852299323163,1049.5048347034794
13,10.0,13,130.0,100,2074.7310074899183,1048.3499922705907
14,10.0,14,140.0,100,2034.684480018345,1048.2848419140678
15,10.0,15,150.0,100,1998.863098232783,1050.7679359766219
16,10.0,16,160.0,100,1967.1343333261927,1049.998265817854
17,10.0,17,170.0,100,1924.8633984028752,1049.062334437776
18,10.0,18,180.0,100,1879.989451014521,1051.94686736057
19,10.0,19,190.0,100,1841.8536587954657,1051.6232233605253
20,10.0,20,200.0,100,1803.3198059823505,1050.1992886796484
21,10.0,21,210.0,100,1762.8190204254706,1051.435827001024
22,10.0,22,220.0,100,1728.1109439198588,1052.772909314784
23,10.0,23,230.0,100,1688.7980102728163,1051.4714534285142
24,10.0,24,240.0,100,1657.0017985739423,1051.5854693125636
25,5.0,0,0.0,100,2514.4423683455557,1044.2812574304587
26,5.0,1,5.0,100,2538.63647718561,1044.5151128775503
27,5.0,2,10.0,100,2524.878484347452,1047.2232494253453
28,5.0,3,15.0,100,2504.5949126587943,1047.3632316407286
29,5.0,4,20.0,100,2485.274468802434,1046.68225314854
30,5.0,5,25.0,100,2470.2891945558526,1046.379325737097
31,5.0,6,30.0,100,2445.498635490675,1045.5202718421356
32,5.0,7,35.0,100,2427.4875605401503,1045.2054280193067
33,5.0,8,40.0,100,2403.4072916465393,1048.2717566246654
34,5.0,9,45.0,100,2383.2487096834197,1048.2554471854453
35,5.0,10,50.0,100,2368.607077549697,1047.9588504693377
36,5.0,11,55.0,100,2346.8076526030172,1047.3088594973551
37,5.0,12,60.0,100,2332.037196835871,1046.6438628784992
38,5.0,13,65.0,100,2311.438299061764,1046.219835662721
39,5.0,14,70.0,100,2289.2486346591586,1048.7334372076452
40,5.0,15,75.0,100,2267.846323635565,1049.5144708849973
41,5.0,16,80.0,100,2254.5049231129815,1049.0573749807581
42,5.0,17,85.0,100,2232.3042225206323,1048.4221715796346
43,5.0,18,90.0,100,2212.629175871434,1047.5882188602504
44,5.0,19,95.0,100,2191.2241120583567,1047.2222948343747
45,5.0,20,100.0,100,2173.6249868954187,1046.999661084057
46,5.0,21,105.0,100,2154.729117079256,1049.3810779653247
47,5.0,22,110.0,100,2135.761535222859,1050.0050995998813
48,5.0,23,115.0,100,2115.849905005185,1049.5069743969684
49,5.0,24,120.0,100,2097.736265043775,1049.0265833133737
50,2.0,0,0.0,100,2516.3599408017762,1045.2935142527974
51,2.0,1,2.0,100,2539.106451753997,1044.380056271775
52,2.0,2,4.0,100,2534.104454408751,1046.8074940725196
53,2.0,3,6.0,100,2526.290722181239,1047.537850201332
54,2.0,4,8.0,100,2517.1150151494426,1047.3958577454193
55,2.0,5,10.0,100,2508.372239892838,1047.28486726553
56,2.0,6,12.0,100,2500.686450847195,1047.2647747002122
57,2.0,7,14.0,100,2494.8280541183017,1047.3114454664396
58,2.0,8,16.0,100,2486.2783164319235,1047.0214555181653
59,2.0,9,18.0,100,2477.955403862017,1046.7709468927198
60,2.0,10,20.0,100,2469.8838680202725,1046.5273317099043
61,2.0,11,22.0,100,2463.8327046609306,1046.304904428011
62,2.0,12,24.0,100,2455.2535241189316,1045.5875139607037
63,2.0,13,26.0,100,2447.699572271363,1045.4712238216537
64,2.0,14,28.0,100,2440.209822558933,1045.3702762537453
65,2.0,15,30.0,100,2431.652402541018,1045.2590601094666
66,2.0,16,32.0,100,2424.0649057975493,1045.1604790821925
67,2.0,17,34.0,100,2416.2313059716294,1045.058700795833
68,2.0,18,36.0,100,2409.2265681339804,1047.5812256768404
69,2.0,19,38.0,100,2399.294503436907,1048.6905515475933
70,2.0,20,40.0,100,2390.7212708784377,1048.617150728004
71,2.0,21,42.0,100,2383.6296396913845,1048.286921413318
72,2.0,22,44.0,100,2375.0432594723425,1048.048720529502
73,2.0,23,46.0,100,2371.194439266856,1047.76063656447
74,2.0,24,48.0,100,2365.6899833222337,1047.5324861292895
75,1.0,0,0.0,100,2531.243175751708,1044.891026912384
76,1.0,1,1.0,100,2539.0206823418,1044.7667218338897
77,1.0,2,2.0,100,2535.216803407853,1046.5822704258803
78,1.0,3,3.0,100,2531.07217923649,1047.7986197830737
79,1.0,4,4.0,100,2528.1921734507573,1047.5518617703622
80,1.0,5,5.0,100,2524.4456484099337,1047.5977622506755
81,1.0,6,6.0,100,2518.699564682265,1047.430761437066
82,1.0,7,7.0,100,2515.9776758799558,1047.4457447615491
83,1.0,8,8.0,100,2510.332633827007,1047.3004686146
84,1.0,9,9.0,100,2508.4116940524173,1047.2607534019517
85,1.0,10,10.0,100,2506.0590397732394,1046.9461422770678
86,1.0,11,11.0,100,2500.381497000364,1047.1680914018534
87,1.0,12,12.0,100,2497.914981108374,1046.7843572611073
88,1.0,13,13.0,100,2492.2616227009735,1047.0790607489585
89,1.0,14,14.0,100,2490.57784214846,1046.769440322555
90,1.0,15,15.0,100,2483.852232375053,1046.8084089196825
91,1.0,16,16.0,100,2482.272613547885,1046.5334372595985
92,1.0,17,17.0,100,2476.8586282239826,1045.958436164504
93,1.0,18,18.0,100,2474.0249782186224,1046.2773845849993
94,1.0,19,19.0,100,2470.9611956932386,1046.380122333411
95,1.0,20,20.0,100,2466.5245867723215,1046.1277046127589
96,1.0,21,21.0,100,2463.8743651898944,1045.9104873261062
97,1.0,22,22.0,100,2460.279637680754,1045.6362418776628
98,1.0,23,23.0,100,2455.0910480642915,1045.5636476047853
99,1.0,24,24.0,100,2451.7383903916643,1045.5200285356243
100,0.5,0,0.0,100,2528.217587604159,1046.9691975338276
101,0.5,1,0.5,100,2538.6991857921753,1047.625530375011
102,0.5,2,1.0,100,2536.5680251289978,1047.9586653591118
103,0.5,3,1.5,100,2533.875147258259,1047.6600945280813
104,0.5,4,2.0,100,2531.7226035818435,1047.761023314443
105,0.5,5,2.5,100,2531.3636971057963,1047.6247329658245
106,0.5,6,3.0,100,2531.5498814415023,1047.5655480936696
107,0.5,7,3.5,100,2526.208108004656,1047.5733089181024
108,0.5,8,4.0,100,2526.205736855058,1047.386350787307
109,0.5,9,4.5,100,2524.3751153163644,1047.4586689556866
110,0.5,10,5.0,100,2521.074435615741,1047.752995275683
111,0.5,11,5.5,100,2519.8003067997834,1047.463615535629
112,0.5,12,6.0,100,2517.9713665033637,1047.3700467748795
113,0.5,13,6.5,100,2517.118322002745,1047.361086775712
114,0.5,14,7.0,100,2514.5732618805996,1047.400306877951
115,0.5,15,7.5,100,2512.707494425417,1047.4528471223396
116,0.5,16,8.0,100,2510.2783099024505,1047.2858553747478
117,0.5,17,8.5,100,2509.6026929625546,1047.2080025381247
118,0.5,18,9.0,100,2504.500458906663,1047.2248653125548
119,0.5,19,9.5,100,2505.3098056349563,1046.9156140156497
120,0.5,20,10.0,100,2503.6922897825084,1046.9341007805656
121,0.5,21,10.5,100,2500.247288651131,1047.1297728543302
122,0.5,22,11.0,100,2499.9465024721167,1047.1456514538431
123,0.5,23,11.5,100,2497.3025509375498,1046.8579945467918
124,0.5,24,12.0,100,2495.2090431013194,1046.963372600842
125,0.2,0,0.0,100,2538.219727651973,1047.4908421997523
126,0.2,1,0.2,100,2539.1718984832737,1047.6410456586818
127,0.2,2,0.4,100,2536.908085387339,1047.6934105210169
128,0.2,3,0.6000000000000001,100,2536.373983843746,1047.9430651539433
129,0.2,4,0.8,100,2536.5152291709683,1047.2298641655782
130,0.2,5,1.0,100,2532.9865399585187,1047.959797718352
131,0.2,6,1.2000000000000002,100,2533.5855314234045,1047.9113581918575
132,0.2,7,1.4000000000000001,100,2533.758218700185,1047.939050695189
133,0.2,8,1.6,100,2531.6179058450707,1047.8579170047929
134,0.2,9,1.8,100,2530.7038906725456,1047.616135558289
135,0.2,10,2.0,100,2530.868317137279,1047.743314929719
136,0.2,11,2.2,100,2530.6336981250247,1047.8512314546958
137,0.2,12,2.4000000000000004,100,2529.1081484251486,1047.538403871176
138,0.2,13,2.6,100,2528.506806610213,1047.8486057669727
139,0.2,14,2.8000000000000003,100,2528.6823993369526,1047.747674892572
140,0.2,15,3.0,100,2528.954632184218,1047.500062732534
141,0.2,16,3.2,100,2526.773590387818,1047.4638816929748
142,0.2,17,3.4000000000000004,100,2525.8905633797626,1047.841360920798
143,0.2,18,3.6,100,2526.237167425523,1047.55195919382
144,0.2,19,3.8000000000000003,100,2523.8586149479015,1047.4665249176808
145,0.2,20,4.0,100,2523.0574296372347,1047.6784427454372
146,0.2,21,4.2,100,2523.509890851543,1047.6069518333538
147,0.2,22,4.4,100,2523.177642508347,1047.2125579590809
148,0.2,23,4.6000000000000005,100,2521.5738021552424,1047.3761458632694
149,0.2,24,4.800000000000001,100,2520.351530399509,1047.5780677745486
150,0.1,0,0.0,100,2533.898986641304,1046.6559736463887
151,0.1,1,0.1,100,2535.1982685426224,1047.9632420489033
152,0.1,2,0.2,100,2536.080973326415,1047.9316185612277
153,0.1,3,0.30000000000000004,100,2535.7303572085502,1047.6876778089736
154,0.1,4,0.4,100,2535.941314831005,1047.7023145140004
155,0.1,5,0.5,100,2536.4041657141925,1047.8724976540689
156,0.1,6,0.6000000000000001,100,2536.439463603465,1048.0027048662573
157,0.1,7,0.7000000000000001,100,2536.568200844302,1046.7386580245159
158,0.1,8,0.8,100,2534.360562886941,1046.7380367180938
159,0.1,9,0.9,100,2533.6235911020285,1047.0296704720836
160,0.1,10,1.0,100,2533.075740514096,1047.6571782923486
161,0.1,11,1.1,100,2533.408791017603,1047.726158117499
162,0.1,12,1.2000000000000002,100,2533.7070164395936,1047.9060972399873
163,0.1,13,1.3,100,2533.810148934586,1047.9689287091971
164,0.1,14,1.4000000000000001,100,2533.4595680222556,1047.7630308183595
165,0.1,15,1.5,100,2531.0888303302504,1047.751198319839
166,0.1,16,1.6,100,2530.9930240466724,1047.741228303875
167,0.1,17,1.7000000000000002,100,2530.527658248295,1047.5881235749196
168,0.1,18,1.8,100,2531.0784360763637,1047.8728044313716
169,0.1,19,1.9000000000000001,100,2531.0564508384605,1047.85866151554
170,0.1,20,2.0,100,2531.181720860032,1047.9350350185941
171,0.1,21,2.1,100,2531.4984029432317,1047.6206777269529
172,0.1,22,2.2,100,2531.211483492412,1047.5876047351965
173,0.1,23,2.3000000000000003,100,2528.1551433682475,1047.5737783823206
174,0.1,24,2.4000000000000004,100,2527.9371086466736,1047.5241132124968
